ticker,name,sector,cap_tier,exchange,adv_usd
VALMT.HE,Valmet Oyj,Industrials,mid,HEL,9737506
KESKOB.HE,Kesko Oyj,Consumer Defensive,mid,HEL,9698091
SPNO.CO,Spar Nord Bank A/S,Financial Services,large,CPH,9662141
APC.DE,Apple Inc.,Technology,large,XETRA,9609624
LUG.ST,Lundin Gold Inc.,Basic Materials,large,STO,9599370
MSF.DE,Microsoft Corporation,Technology,large,XETRA,9075128
AMZ.DE,"Amazon.com, Inc.",Consumer Cyclical,large,XETRA,8512096
SVITZR.CO,Svitzer Group A/S,Industrials,mid,CPH,7809161
SCHO.CO,Aktieselskabet Schouw & Co.,Industrials,large,CPH,7483419
SAGA-D.ST,AB Sagax (publ),Real Estate,large,STO,7018648
OUT1V.HE,Outokumpu Oyj,Basic Materials,mid,HEL,6959995
NTG.CO,NTG Nordic Transport Group A/S,Industrials,mid,CPH,6905360
PAAL-B.CO,Per Aarsleff Holding A/S,Industrials,large,CPH,6846675
MATAS.CO,Matas A/S,Consumer Cyclical,mid,CPH,6813112
SPIUSGKL.CO,Sparinvest INDEX USA Growth KL,Financial Services,mid,CPH,5979741
KCR.HE,Konecranes Plc,Industrials,mid,HEL,5869283
SPVIGAKL.CO,Sparinvest INDEX Globale Aktier KL,Financial Services,mid,CPH,5740755
NOBLE.CO,Noble Corporation Plc,Energy,large,CPH,5734452
MANTA.HE,Mandatum Oyj,Financial Services,mid,HEL,5571733
ABEA.DE,Alphabet Inc.,Communication Services,large,XETRA,5529190
HUH1V.HE,Huhtamäki Oyj,Consumer Cyclical,mid,HEL,5481673
GACB.L,General Accident PLC,Financial Services,large,LSE,5345512
